N, 92, Patricio Cullen - Padre Genesio, 7.0, 3.0
N, 93, Patricio Cullen - Javier de la rosa, 7.0, 2.0
N, 94, Patricio Cullen - Regimiento 12, 7.0, 1.0
N, 95, Echague - Regimiento 12, 8.0, 1.0
N, 96, Echague - Javier de la rosa, 8.0, 2.0
N, 97, Echague - Padre Genesio, 8.0, 3.0
N, 98, Echague - Cardenal Fasolino, 8.0, 4.0
N, 99, Echague - Alberti, 8.0, 5.0
N, 100, Echague - Obispo Principe, 9.0, 6.0
N, 101, Echague - Espora, 9.0, 7.0
N, 102, Echague - Obispo Boneo, 9.0, 8.0
N, 103, Echague - Estanislao Zeballos, 9.0, 9.0
N, 104, Echague - Juan Castelli, 9.0, 10.0
N, 105, Echague - Hernandarias, 9.0, 11.0
N, 106, Echague - Pje Pujato, 9.0, 11.5
N, 107, Echague - J.P. Lopez, 9.0, 12.0
N, 108, Echague - Angel Cassanello, 9.0, 13.0
N, 109, Echague - Ricardo Aldao, 9.0, 14.0
N, 110, Echague - Pedro de vega, 9.0, 15.0
N, 111, Talcahuano - Angel Cassanello, 11.0, 13.0
N, 112, Talcahuano - J.P. Lopez, 10.0, 12.0
N, 113, Talcahuano - Hernandarias, 10.0, 11.0
N, 114, Talcahuano - Juan Castelli, 10.0, 10.0
N, 115, Talcahuano - Estanislao Zeballos, 10.0, 9.0
N, 116, Talcahuano - Obispo Boneo, 10.0, 8.0
N, 117, Talcahuano - Espora, 10.0, 7.0
N, 118, Talcahuano - Obispo Principe, 10.0, 6.0
N, 119, Talcahuano - Alberti, 10.0, 5.0
N, 120, Talcahuano - Cardenal Fasolino, 10.0, 4.0
N, 121, Talcahuano - Padre Genesio, 10.0, 3.0
N, 122, Talcahuano - Javier de la rosa, 10.0, 2.0
N, 123, Talcahuano - Regimiento 12, 10.0, 1.0
N, 124, Defensa - Regimiento 12, 11.0, 1.0
N, 125, Defensa - Javier de la rosa, 11.0, 2.0
N, 126, Defensa - Padre Genesio, 11.0, 3.0
N, 127, Defensa - Cardenal Fasolino, 11.0, 4.0
N, 128, Defensa - Alberti, 11.0, 5.0
N, 129, Defensa - Obispo Principe, 11.0, 6.0
N, 130, Defensa - Espora, 11.0, 7.0
N, 131, Defensa - Obispo Boneo, 11.0, 8.0
N, 132, Defensa - Estanislao Zeballos, 11.0, 9.0
N, 133, Defensa - Juan Castelli, 11.0, 10.0
N, 134, Defensa - Hernandarias, 11.0, 11.0
N, 135, Defensa - J.P. Lopez, 11.0, 12.0
N, 136, Riobamba - Juan Castelli, 12.0, 10.0
N, 137, Riobamba - Estanislao Zeballos, 12.0, 9.0
N, 138, Riobamba - Obispo Boneo, 12.0, 8.0
N, 139, Riobamba - Espora, 12.0, 7.0
N, 140, Riobamba - Obispo Principe, 12.0, 6.0
N, 141, Riobamba - Alberti, 12.0, 5.0
N, 142, Riobamba - Cardenal Fasolino, 12.0, 4.0
N, 143, Riobamba - Padre Genesio, 12.0, 3.0
N, 144, Riobamba - Javier de la rosa, 12.0, 2.0
N, 145, Riobamba - Regimiento 12, 12.0, 1.0
N, 146, Alte Brown - Javier de la rosa, 13.0, 2.0
N, 147, Alte Brown - Padre Genesio, 13.0, 3.0
N, 148, Alte Brown - Cardenal Fasolino, 13.0, 4.0
N, 149, Alte Brown - Alberti, 13.0, 5.0
N, 150, Alte Brown - Obispo Principe, 13.0, 6.0
N, 151, Alte Brown - Espora, 13.0, 7.0
N, 152, Alte Brown - Obispo Boneo, 13.0, 8.0
N, 153, Alte Brown - Estanislao Zeballos, 13.0, 9.0
N, 154, Alte Brown - Juan Castelli, 13.0, 10.0
N, 155, Alte Brown - Riobamba, 13.0, 10.5
N, 156, Alte Brown - Hernandarias, 13.0, 11.0
N, 157, Alte Brown - J.P. Lopez, 13.0, 12.0
N, 158, Alte Brown - Angel Cassanello, 13.0, 13.0
N, 159, Alte Brown - Ricardo Aldao, 13.0, 14.0
N, 160, Alte Brown - Pedro de vega, 13.0, 15.0
N, 161, Italia - Regimiento 12, 14.0, 1.0
C,1,1,2,Gral Paz,1
C,1,2,1,Gral Paz,1
C,1,2,3,Gral Paz,1
C,1,3,2,Gral Paz,1
C,1,3,4,Gral Paz,1
C,1,4,3,Gral Paz,1
C,1,4,5,Gral Paz,1
C,1,5,4,Gral Paz,1
C,1,5,6,Gral Paz,1
C,1,6,5,Gral Paz,1
C,1,6,7,Gral Paz,1
C,1,7,6,Gral Paz,1
C,1,7,8,Gral Paz,1
C,1,8,7,Gral Paz,1
C,1,8,9,Gral Paz,1
C,1,9,8,Gral Paz,1
C,1,9,10,Gral Paz,1
C,1,10,9,Gral Paz,1
C,1,25,9,Velez Sarfield,1
C,1,9,25,Velez Sarfield,0
C,1,10,11,Gral Paz,1
C,1,11,10,Gral Paz,1
C,1,11,12,Gral Paz,1
C,1,12,11,Gral Paz,1
C,1,12,13,Gral Paz,1
C,1,13,12,Gral Paz,1
C,1,13,14,Gral Paz,1
C,1,14,13,Gral Paz,1
C,1,14,15,Gral Paz,1
C,1,15,14,Gral Paz,1
C,1,15,16,Gral Paz,1
C,1,16,15,Gral Paz,1
C,1,16,17,Dorrego,0
C,1,17,16,Dorrego,1
C,1,19,16,Velez Sarfield,1
C,1,16,19,Velez Sarfield,0
C,1,17,18,Dorrego,0
C,1,18,17,Dorrego,1
C,1,14,17,Gral Paz,1
C,1,17,14,Gral Paz,1
C,1,18,19,Dorrego,0
C,1,19,18,Dorrego,1
C,1,19,20,Velez Sarfield,0
C,1,20,19,Velez Sarfield,1
C,1,20,21,Velez Sarfield,0
C,1,21,20,Velez Sarfield,1
C,1,17,20,Dorrego,1
C,1,20,17,Dorrego,0
C,1,21,22,Velez Sarfield,0
C,1,22,21,Velez Sarfield,1
C,1,40,21,Tacuari,1
C,1,21,40,Tacuari,0
C,1,22,23,Velez Sarfield,0
C,1,23,22,Velez Sarfield,1
C,1,12,22,Gral Paz,1
C,1,22,12,Gral Paz,1
C,1,23,24,Velez Sarfield,0
C,1,24,23,Velez Sarfield,1
C,1,37,23,Tacuari,1
C,1,23,37,Tacuari,0
C,1,24,25,Velez Sarfield,0
C,1,25,24,Velez Sarfield,1
C,1,10,24,Gral Paz,1
C,1,24,10,Gral Paz,1
C,1,35,25,Tacuari,1
C,1,25,35,Tacuari,0
C,1,26,27,Tacuari,0
C,1,27,26,Tacuari,1
C,1,27,28,Tacuari,0
C,1,28,27,Tacuari,1
C,1,2,27,Gral Paz,1
C,1,27,2,Gral Paz,1
C,1,28,29,Tacuari,0
C,1,29,28,Tacuari,1
C,1,57,28,Piedras,1
C,1,28,57,Piedras,0
C,1,29,30,Tacuari,0
C,1,30,29,Tacuari,1
C,1,56,29,Piedras,1
C,1,29,56,Piedras,0
C,1,30,31,Tacuari,0
C,1,31,30,Tacuari,1
C,1,4,30,Gral Paz,1
C,1,30,4,Gral Paz,1
C,1,31,32,Tacuari,0
C,1,32,31,Tacuari,1
C,1,54,31,Piedras,1
C,1,31,54,Piedras,0
C,1,32,33,Tacuari,0
C,1,33,32,Tacuari,1
C,1,6,32,Gral Paz,1
C,1,32,6,Gral Paz,1
C,1,33,34,Tacuari,0
C,1,34,33,Tacuari,1
C,1,52,33,Piedras,1
C,1,33,52,Piedras,0
C,1,34,35,Tacuari,0
C,1,35,34,Tacuari,1
C,1,8,34,Gral Paz,1
C,1,34,8,Gral Paz,1
C,1,35,36,Tacuari,0
C,1,36,35,Tacuari,1
C,1,50,35,Piedras,1
C,1,35,50,Piedras,0
C,1,36,37,Tacuari,0
C,1,37,36,Tacuari,1
C,1,24,36,Velez Sarfield,1
C,1,36,24,Velez Sarfield,0
C,1,37,38,Tacuari,0
C,1,38,37,Tacuari,1
C,1,48,37,Piedras,1
C,1,37,48,Piedras,0
C,1,38,39,Tacuari,0
C,1,39,38,Tacuari,1
C,1,47,38,Piedras,1
C,1,38,47,Piedras,0
C,1,39,40,Tacuari,0
C,1,40,39,Tacuari,1
C,1,22,39,Velez Sarfield,1
C,1,39,22,Velez Sarfield,0
C,1,40,41,Tacuari,0
C,1,41,40,Tacuari,1
C,1,45,40,Piedras,1
C,1,40,45,Piedras,0
C,1,41,42,Tacuari,0
C,1,42,41,Tacuari,1
C,1,20,41,Velez Sarfield,1
C,1,41,20,Velez Sarfield,0
C,1,42,43,Tacuari,0
C,1,43,42,Tacuari,1
C,1,43,42,Piedras,1
C,1,42,43,Piedras,0
C,1,43,44,Piedras,0
C,1,44,43,Piedras,1
C,1,44,45,Piedras,0
C,1,45,44,Piedras,1
C,1,41,44,Tacuari,1
C,1,44,41,Tacuari,0
C,1,45,46,Piedras,0
C,1,46,45,Piedras,1
C,1,73,45,Antonia Godoy,1
C,1,45,73,Antonia Godoy,0
C,1,46,47,Piedras,0
C,1,47,46,Piedras,1
C,1,39,46,Tacuari,1
C,1,46,39,Tacuari,0
C,1,47,48,Piedras,0
C,1,48,47,Piedras,1
C,1,38,47,Tacuari,1
C,1,47,38,Tacuari,0
C,1,48,49,Piedras,0
C,1,49,48,Piedras,1
C,1,70,48,Antonia Godoy,1
C,1,48,70,Antonia Godoy,0
C,1,49,50,Piedras,0
C,1,50,49,Piedras,1
C,1,36,49,Tacuari,1
C,1,49,36,Tacuari,0
C,1,50,51,Piedras,0
C,1,51,50,Piedras,1
C,1,68,50,Antonia Godoy,1
C,1,50,68,Antonia Godoy,0
C,1,51,52,Piedras,0
C,1,52,51,Piedras,1
C,1,34,51,Tacuari,1
C,1,51,34,Tacuari,0
C,1,52,53,Piedras,0
C,1,53,52,Piedras,1
C,1,66,52,Antonia Godoy,1
C,1,52,66,Antonia Godoy,0
C,1,53,54,Piedras,0
C,1,54,53,Piedras,1
C,1,32,53,Tacuari,1
C,1,53,32,Tacuari,0
C,1,54,55,Piedras,0
C,1,55,54,Piedras,1
C,1,55,56,Piedras,0
C,1,56,55,Piedras,1
C,1,30,55,Tacuari,1
C,1,55,30,Tacuari,0
C,1,56,57,Piedras,0
C,1,57,56,Piedras,1
C,1,29,56,Tacuari,1
C,1,56,29,Tacuari,0
C,1,57,58,Piedras,0
C,1,58,57,Piedras,1
C,1,62,57,Antonia Godoy,1
C,1,57,62,Antonia Godoy,0
C,1,58,59,Piedras,0
C,1,59,58,Piedras,1
C,1,27,58,Tacuari,1
C,1,58,27,Tacuari,0
C,1,59,60,Piedras,0
C,1,60,59,Piedras,1
C,1,60,59,Antonia Godoy,1
C,1,59,60,Antonia Godoy,0
C,1,60,61,Antonia Godoy,0
C,1,61,60,Antonia Godoy,1
C,1,61,62,Antonia Godoy,0
C,1,62,61,Antonia Godoy,1
C,1,58,61,Piedras,1
C,1,61,58,Piedras,0
C,1,62,63,Antonia Godoy,0
C,1,63,62,Antonia Godoy,1
C,1,63,64,Antonia Godoy,0
C,1,64,63,Antonia Godoy,1
C,1,91,63,Patricio Cullen,1
C,1,63,91,Patricio Cullen,0
C,1,64,65,Antonia Godoy,0
C,1,65,64,Antonia Godoy,1
C,1,55,64,Piedras,1
C,1,64,55,Piedras,0
C,1,65,66,Antonia Godoy,0
C,1,66,65,Antonia Godoy,1
C,1,53,65,Piedras,1
C,1,65,53,Piedras,0
C,1,66,67,Antonia Godoy,0
C,1,67,66,Antonia Godoy,1
C,1,87,66,Patricio Cullen,1
C,1,66,87,Patricio Cullen,0
C,1,67,68,Antonia Godoy,0
C,1,68,67,Antonia Godoy,1
C,1,51,67,Piedras,1
C,1,67,51,Piedras,0
C,1,68,69,Antonia Godoy,0
